sex,fnlwgt,race,education_num,marital_status,occupation,relationship,race,capital_gain,capital_loss,hours_per_week,native_country,education,workclass,,income,age
Male,77516,White,13,Never-married,Adm-clerical,Not-in-family,White,2174,0,40,United-States,Bachelors,State-gov,,<=50K,39
Male,83311,White,13,Married-civ-spouse,Exec-managerial,Husband,White,0,0,13,United-States,Bachelors,Self-emp-not-inc,,<=50K,50
Male,215646,White,9,Divorced,Handlers-cleaners,Not-in-family,White,0,0,40,United-States,HS-grad,Private,,<=50K,38
#NAME?,234721,Black,7,Married-civ-spouse,Handlers-cleaners,Husband,Black,0,0,40,United-States,11th,Private,,<=50K,53
Female,338409,Black,13,Married-civ-spouse,Prof-specialty,Wife,Black,0,0,40,Cuba,Bachelors,Private,,<=50K,28
Female,284582,White,14,Married-civ-spouse,Exec-managerial,Wife,White,0,0,40,United-States,Masters,Private,,<=50K,37
Female,160187,Black,5,Married-spouse-absent,Other-service,Not-in-family,Black,0,0,16,Jamaica,9th,Private,,<=50K,49
Male,209642,White,9,Married-civ-spouse,Exec-managerial,Husband,White,0,0,45,United-States,HS-grad,Self-emp-not-inc,,>50K,52
Female,45781,White,14,Never-married,Prof-specialty,Not-in-family,White,14084,0,50,United-States,Masters,Private,,>50K,31
Male,159449,White,13,Married-civ-spouse,Exec-managerial,Husband,White,5178,0,40,United-States,Bachelors,Private,,>50K,42
Male,280464,Black,10,Married-civ-spouse,Exec-managerial,Husband,Black,0,0,80,United-States,Some-college,Private,,>50K,37
Male,141297,Asian-Pac-Islander,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,0,0,40,India,Bachelors,State-gov,,>50K,30
Female,122272,White,13,Never-married,Adm-clerical,Own-child,White,0,0,30,United-States,Bachelors,Private,,<=50K,23
Male,205019,Black,12,Never-married,Sales,Not-in-family,Black,0,0,50,United-States,Assoc-acdm,Private,,<=50K,32
Male,121772,Asian-Pac-Islander,11,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,0,0,40,?,Assoc-voc,Private,,>50K,40
Male,245487,Amer-Indian-Eskimo,4,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,0,0,45,Mexico,7th-8th,Private,,<=50K,34
Male,#NAME?,White,9,Never-married,Farming-fishing,Own-child,White,0,0,35,United-States,HS-grad,Self-emp-not-inc,,<=50K,#NAME?
Male,186824,White,9,Never-married,Machine-op-inspct,Unmarried,White,0,0,40,United-States,HS-grad,Private,,<=50K,32
Male,28887,White,7,Married-civ-spouse,Sales,Husband,White,0,0,50,United-States,11th,Private,,<=50K,38
Female,292175,White,14,Divorced,Exec-managerial,Unmarried,White,0,0,45,United-States,Masters,Self-emp-not-inc,,>50K,43
Male,193524,White,16,Married-civ-spouse,Prof-specialty,Husband,White,0,0,60,United-States,Doctorate,Private,,>50K,#NAME?
Female,302146,Black,9,Separated,Other-service,Unmarried,Black,0,0,20,United-States,HS-grad,Private,,<=50K,54
Male,76845,Black,5,Married-civ-spouse,Farming-fishing,Husband,Black,0,0,40,United-States,9th,Federal-gov,,<=50K,35
Male,117037,White,7,Married-civ-spouse,Transport-moving,Husband,White,0,2042,40,United-States,11th,Private,,<=50K,43
Female,109015,White,9,Divorced,Tech-support,Unmarried,White,0,0,40,United-States,HS-grad,Private,,<=50K,59
Male,216851,White,13,Married-civ-spouse,Tech-support,Husband,White,0,0,40,United-States,Bachelors,Local-gov,,>50K,56
Male,168294,White,9,Never-married,Craft-repair,Own-child,White,0,0,40,United-States,HS-grad,Private,,<=50K,19
Male,180211,Asian-Pac-Islander,10,Married-civ-spouse,?,Husband,Asian-Pac-Islander,0,0,60,South,Some-college,?,,>50K,54
Male,367260,White,#NAME?,Divorced,Exec-managerial,Not-in-family,White,0,0,80,United-States,?,Private,,<=50K,39
Male,193366,White,9,Married-civ-spouse,Craft-repair,Husband,White,0,0,40,United-States,HS-grad,Private,,<=50K,49
Male,190709,White,12,Never-married,Protective-serv,Not-in-family,White,0,0,52,United-States,Assoc-acdm,Local-gov,,<=50K,23
Male,266015,Black,10,Never-married,Sales,Own-child,Black,0,0,44,United-States,Some-college,Private,,<=50K,20
Male,386940,White,13,Divorced,Exec-managerial,Own-child,White,0,1408,40,United-States,Bachelors,Private,,<=50K,45
Male,59951,#NAME?,10,Married-civ-spouse,Adm-clerical,Own-child,#NAME?,0,0,40,United-States,Some-college,Federal-gov,,<=50K,30
Male,311512,Black,10,Married-civ-spouse,Other-service,Husband,Black,0,0,15,United-States,Some-college,State-gov,,<=50K,22
Male,242406,White,7,Never-married,Machine-op-inspct,Unmarried,White,0,0,40,Puerto-Rico,11th,Private,,<=50K,48
Male,#NAME?,White,10,Never-married,Machine-op-inspct,Own-child,White,0,0,40,United-States,Some-college,Private,,<=50K,21
Female,544091,White,9,Married-AF-spouse,Adm-clerical,Wife,White,0,0,25,United-States,HS-grad,Private,,<=50K,19
Male,84154,White,10,Married-civ-spouse,Sales,Husband,White,0,0,38,?,Some-college,Private,,>50K,31
Male,265477,White,12,Married-civ-spouse,Prof-specialty,Husband,White,0,0,40,United-States,Assoc-acdm,Self-emp-not-inc,,<=50K,48
Male,507875,White,5,Married-civ-spouse,Machine-op-inspct,Husband,White,0,0,43,United-States,9th,Private,,<=50K,31
Male,88506,White,13,Married-civ-spouse,Prof-specialty,Husband,White,0,0,40,United-States,Bachelors,Self-emp-not-inc,,<=50K,53
Male,172987,White,13,Married-civ-spouse,Tech-support,Husband,White,0,0,50,United-States,Bachelors,Private,,<=50K,24
Female,94638,White,9,Separated,Adm-clerical,Unmarried,White,0,0,40,United-States,HS-grad,Private,,<=50K,49
Male,289980,White,9,Never-married,Handlers-cleaners,Not-in-family,White,0,0,35,United-States,HS-grad,Private,,<=50K,25
Male,337895,Black,13,Married-civ-spouse,Prof-specialty,Husband,Black,0,0,40,United-States,Bachelors,Federal-gov,,>50K,57
Male,144361,White,9,Married-civ-spouse,Machine-op-inspct,Husband,White,0,0,38,United-States,HS-grad,Private,,<=50K,53
Female,128354,White,14,Divorced,Exec-managerial,Unmarried,White,0,0,40,United-States,Masters,Private,,<=50K,44
Male,101603,White,11,Married-civ-spouse,Craft-repair,Husband,White,0,0,40,United-States,Assoc-voc,State-gov,,<=50K,41
Male,271466,White,11,Never-married,Prof-specialty,Not-in-family,White,0,0,43,United-States,Assoc-voc,Private,,<=50K,29
Female,32275,Other,10,Married-civ-spouse,Exec-managerial,Wife,Other,0,0,40,United-States,Some-college,Private,,<=50K,25
Female,226956,White,9,Never-married,Other-service,Own-child,White,0,0,30,?,HS-grad,Private,,<=50K,18
Female,51835,White,15,Married-civ-spouse,Prof-specialty,Wife,White,0,1902,60,Honduras,Prof-school,Private,,>50K,47
Male,251585,White,13,Divorced,Exec-managerial,Not-in-family,White,0,0,55,United-States,Bachelors,Federal-gov,,>50K,50
Male,109832,White,9,Divorced,Exec-managerial,Not-in-family,White,0,0,60,United-States,HS-grad,Self-emp-inc,,<=50K,47
Male,237993,White,10,Married-civ-spouse,Tech-support,Husband,White,0,0,40,United-States,Some-college,Private,,>50K,43
Male,216666,White,3,Married-civ-spouse,Machine-op-inspct,Husband,White,0,0,40,Mexico,5th-6th,Private,,<=50K,46
Male,56352,White,11,Married-civ-spouse,Other-service,Husband,White,0,0,40,Puerto-Rico,Assoc-voc,Private,,<=50K,35
Male,147372,White,9,Married-civ-spouse,Adm-clerical,Husband,White,0,0,48,United-States,HS-grad,Private,,<=50K,41
Male,188146,White,9,Married-civ-spouse,Machine-op-inspct,Husband,White,5013,0,40,United-States,HS-grad,Private,,<=50K,30
Male,59496,White,13,Married-civ-spouse,Sales,Husband,White,2407,0,40,United-States,Bachelors,Private,,<=50K,30
Male,293936,White,4,Married-spouse-absent,?,Not-in-family,White,0,0,40,?,7th-8th,?,,<=50K,32
Male,149640,White,9,Married-civ-spouse,Transport-moving,Husband,White,0,0,40,United-States,HS-grad,Private,,<=50K,48
Male,116632,White,16,Married-civ-spouse,Prof-specialty,Husband,White,0,0,45,United-States,Doctorate,Private,,>50K,42
Male,105598,White,10,Divorced,Tech-support,Not-in-family,White,0,0,58,United-States,Some-college,Private,,<=50K,29
Male,155537,White,9,Married-civ-spouse,Craft-repair,Husband,White,0,0,40,United-States,HS-grad,Private,,<=50K,36
Female,183175,White,10,Divorced,Adm-clerical,Not-in-family,White,0,0,40,United-States,Some-college,Private,,<=50K,28
Female,169846,White,9,Married-civ-spouse,Adm-clerical,Wife,White,0,0,40,United-States,HS-grad,Private,,>50K,53
Male,191681,White,10,Married-civ-spouse,Exec-managerial,Husband,White,0,0,50,United-States,Some-college,Self-emp-inc,,>50K,49
Male,200681,White,10,Never-married,?,Own-child,White,0,0,40,United-States,Some-college,?,,<=50K,25
Male,101509,White,10,Never-married,Prof-specialty,Own-child,White,0,0,32,United-States,Some-college,Private,,<=50K,19
